id,subject,file_path,line_number,content
47861,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.TestRollingUpgrade-output.txt,11307,"2021-01-27 14:35:18,984 [Listener at localhost/37679] INFO  hdfs.TestRollingUpgrade (TestRollingUpgrade.java:testRollingUpgradeWithQJM(260)) - The exception is expected."
78899,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.namenode.TestEditLogRace-output.txt,27253,"2021-01-27 12:51:46,289 [Log spammer 12] INFO  namenode.TestEditLogRace (TestEditLogRace.java:call(618)) - thread[12] edits=2048"
35607,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-common-project/hadoop-common/target/surefire-reports/org.apache.hadoop.fs.TestFsShellReturnCode-output.txt,69,"2021-01-27 10:26:27,267 INFO  fs.TestFsShellReturnCode (TestFsShellReturnCode.java:testInvalidDefaultFS(381)) - result="
626104,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-endpoint/target/surefire-reports/org.apache.hadoop.hbase.coprocessor.TestSecureExport-output.txt,2,"2021-03-01 23:03:56,845 INFO  [Time-limited test] coprocessor.TestSecureExport(181): Running testAccessCase"
630993,hive-master,/Users/holen/DegreeProject/mstracker-RQ3/hive-master/ql/target/surefire-reports/org.apache.hadoop.hive.ql.session.TestSessionState-output.txt,329,"2021-01-27T12:20:42,337  INFO [main] session.TestSessionState: copy jar file 2"
638711,zookeeper-master,/Users/holen/DegreeProject/mstracker-RQ3/zookeeper-master/zookeeper-server/target/surefire-reports/org.apache.zookeeper.audit.Log4jAuditLoggerTest-output.txt,609,"2021-03-02 00:39:56,613 [myid:] - INFO  [main:Log4jAuditLoggerTest@291] - expected audit log for operation 'setData' is 'session=0x1d6fe733b0000	user=127.0.0.1	ip=127.0.0.1	operation=setData	znode=/setDataPath	result=failure'"
86487,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-client/target/surefire-reports/org.apache.hadoop.hbase.client.TestTableDescriptorBuilder-output.txt,36,"2021-03-01 22:10:36,802 INFO  [Time-limited test] client.TestTableDescriptorBuilder(204): Testing: 'new:illegalcolon1:2'"
47427,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.TestReadStripedFileWithDecoding-output.txt,2818,"2021-01-27 15:50:52,882 [Listener at localhost/44747] INFO  hdfs.TestReadStripedFileWithDecoding (TestReadStripedFileWithDecoding.java:testReportBadBlock(100)) - Deliberately corrupting file blk_-9223372036854775792"
43387,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.TestReplaceDatanodeOnFailure-output.txt,1773,"2021-01-27 15:35:37,239 [SlowWriter:/TestReplaceDatanodeOnFailure/file1] INFO  hdfs.TestReplaceDatanodeOnFailure (TestReplaceDatanodeOnFailure.java:run(246)) - SlowWriter:/TestReplaceDatanodeOnFailure/file1 writes 4"
630222,hive-master,/Users/holen/DegreeProject/mstracker-RQ3/hive-master/llap-server/target/surefire-reports/org.apache.hadoop.hive.llap.cache.TestBuddyAllocatorForceEvict-output.txt,387365,"2021-01-27T12:44:40,330  INFO [pool-2-thread-9] cache.TestBuddyAllocatorForceEvict: Allocator state (MTT): {[8*@0][8*@1][16*@2][16*@4][16*@6][8*@8][8*@9][16*@10][16*@12][16*@14][8*@16][8*@17][16*@18][16*@20][8*@22][8*@23][16*@24][16*@26][8*@28][8*@29][16*@30][16*@32][16*@34][8*@36][8*@37][16*@38][16*@40][16*@42][8*@44][8*@45][16*@46][16*@48][8*@50][8*@51][16*@52][16*@54][8*@56][8*@57][16*@58][16*@60][16*@62][8*@64][8*@65][16*@66][16*@68][16*@70][8*@72][8*@73][16*@74][16*@76][8*@78][8*@79][16*@80][16*@82][8*@84][8*@85][16*@86][16*@88][8*@90][8*@91][16*@92][16*@94][8*@96][8*@97][16*@98][16*@100][16*@102][8*@104][8*@105][16*@106][16*@108][16*@110][8*@112][8*@113][16*@114][16*@116][16*@118][8*@120][8*@121][16*@122][16*@124][16*@126][8*@128][8*@129][16*@130][16*@132][16*@134][8*@136][8*@137][16*@138][16*@140][8*@142][8*@143][16*@144][16*@146][8*@148][8*@149][16*@150][16*@152][8*@154][8*@155][16*@156][16*@158][8*@160][8*@161][16*@162][16*@164][16*@166][8*@168][8*@169][16*@170][16*@172][16*@174][8*@176][8*@177][16*@178][16*@180][8*@182][8*@183][16*@184][16*@186][8*@188][8*@189][16*@190][16*@192][8*@194][8*@195][16*@196][16*@198][8*@200][8*@201][16*@202][16*@204][16*@206][8*@208][8*@209][16*@210][8*@212][8*@213][16*@214][16*@216][16*@218][8*@220][8*@221][16*@222][16*@224][8*@226][8*@227][16*@228][16*@230][8*@232][8*@233][16*@234][16*@236][16*@238][8*@240][8*@241][16*@242][16*@244][16*@246][8*@248][8*@249][16*@250][16*@252][16*@254]}, {[16*@0][16*@2][16*@4][16*@6][16*@8][16*@10][16*@12][16*@14][16*@16][16*@18][16*@20][8*@22][8*@23][16*@24][8*@26][8*@27][16*@28][8*@30][8*@31][16*@32][16*@34][16*@36][16*@38][16*@40][16*@42][16*@44][16*@46][16*@48][16*@50][16*@52][16*@54][16*@56][8*@58][8*@59][16*@60][16*@62][16*@64][16*@66][16*@68][16*@70][16*@72][16*@74][16*@76][16*@78][16*@80][16*@82][16*@84][16*@86][16*@88][16*@90][16*@92][16*@94][16*@96][16*@98][16*@100][16*@102][16*@104][16*@106][16*@108][16*@110][16*@112][16*@114][16*@116][16*@118][16*@120][16*@122][16*@124][16*@126][16*@128][16*@130][16*@132][16*@134][16*@136][16*@138][16*@140][16*@142][16*@144][16*@146][16*@148][16*@150][16*@152][16*@154][16*@156][16*@158][16*@160][8*@162][8*@163][16*@164][16*@166][16*@168][16*@170][16*@172][16*@174][16*@176][16*@178][16*@180][16*@182][16*@184][8*@186][8*@187][16*@188][16*@190][16*@192][16*@194][16*@196][16*@198][16*@200][16*@202][16*@204][16*@206][16*@208][16*@210][16*@212][16*@214][16*@216][16*@218][16*@220][16*@222][16*@224][16*@226][16*@228][16*@230][16*@232][16*@234][16*@236][16*@238][16*@240][16*@242][16*@244][16*@246][16*@248][16*@250][16*@252][16*@254]}, {[16*@0][16*@2][16*@4][16*@6][16*@8][16*@10][16*@12][16*@14][16*@16][16*@18][16*@20][16*@22][16*@24][16*@26][16*@28][16*@30][8*@32][8*@33][8*@34][8*@35][16*@36][16*@38][8*@40][8*@41][16*@42][16*@44][16*@46][16*@48][16*@50][8*@52][8*@53][16*@54][16*@56][16*@58][8*@60][8*@61][16*@62][16*@64][16*@66][16*@68][16*@70][8*@72][8*@73][16*@74][16*@76][16*@78][8*@80][8*@81][16*@82][16*@84][16*@86][8*@88][8*@89][16*@90][16*@92][16*@94][16*@96][8*@98][8*@99][16*@100][16*@102][8*@104][8*@105][16*@106][8*@108][8*@109][16*@110][16*@112][16*@114][16*@116][16*@118][16*@120][8*@122][8*@123][16*@124][16*@126][16*@128][16*@130][16*@132][16*@134][16*@136][16*@138][16*@140][16*@142][16*@144][16*@146][16*@148][16*@150][16*@152][16*@154][16*@156][16*@158][16*@160][16*@162][16*@164][16*@166][16*@168][16*@170][16*@172][16*@174][16*@176][16*@178][16*@180][16*@182][16*@184][16*@186][16*@188][16*@190][16*@192][16*@194][16*@196][16*@198][16*@200][16*@202][16*@204][16*@206][16*@208][16*@210][16*@212][16*@214][16*@216][16*@218][16*@220][16*@222][16*@224][16*@226][16*@228][16*@230][16*@232][16*@234][16*@236][16*@238][16*@240][16*@242][16*@244][16*@246][16*@248][16*@250][16*@252][16*@254]}, {[16*@0][16*@2][8*@4][8*@5][16*@6][16*@8][16*@10][8*@12][8*@13][16*@14][16*@16][16*@18][8*@20][8*@21][16*@22][16*@24][16*@26][8*@28][8*@29][16*@30][8*@32][8*@33][16*@34][16*@36][16*@38][8*@40][8*@41][16*@42][16*@44][16*@46][8*@48][8*@49][16*@50][16*@52][16*@54][8*@56][8*@57][16*@58][16*@60][16*@62][16*@64][16*@66][8*@68][8*@69][16*@70][8*@72][8*@73][16*@74][16*@76][16*@78][8*@80][8*@81][16*@82][16*@84][16*@86][8*@88][8*@89][16*@90][16*@92][8*@94][8*@95][16*@96][8*@98][8*@99][16*@100][16*@102][8*@104][8*@105][16*@106][16*@108][16*@110][8*@112][8*@113][16*@114][16*@116][16*@118][8*@120][8*@121][16*@122][16*@124][16*@126][8*@128][8*@129][16*@130][16*@132][16*@134][16*@136][16*@138][8*@140][8*@141][16*@142][16*@144][8*@146][8*@147][16*@148][16*@150][8*@152][8*@153][16*@154][16*@156][16*@158][8*@160][8*@161][16*@162][16*@164][16*@166][16*@168][16*@170][16*@172][16*@174][8*@176][8*@177][16*@178][16*@180][16*@182][8*@184][8*@185][16*@186][16*@188][16*@190][8*@192][8*@193][16*@194][16*@196][16*@198][8*@200][8*@201][16*@202][16*@204][16*@206][16*@208][16*@210][8*@212][8*@213][16*@214][16*@216][8*@218][8*@219][16*@220][16*@222][8*@224][8*@225][16*@226][16*@228][16*@230][8*@232][8*@233][16*@234][16*@236][16*@238][16*@240][16*@242][8*@244][8*@245][16*@246][16*@248][16*@250][8*@252][8*@253][16*@254]}, "
